task,level,n_demos,batch,env,success,variant,obj_x,obj_y,obj_yaw,goal_x,goal_y,local_rej,nn_demo_dist,cab_x,cab_y,cab_dyaw,bearing
T1,L1,100,0,12,True,-1,0.5797799825668335,0.01067495346069336,1.1284023824029665,0.5,0.25,0.16000000000000003,0.6357014917494397,,,,
T1,L1,100,0,13,False,-1,0.4009718894958496,-0.15812504291534424,-0.6823677467173213,0.5,0.25,0.12,0.3229461949414023,,,,
T1,L1,100,0,14,True,-1,0.5238549709320068,0.0455399751663208,-0.48376561798232187,0.5,0.25,0.040000000000000036,0.3328499360235524,,,,
T1,L1,100,0,15,False,-1,0.3610808849334717,-0.12740588188171387,-0.015920163079544684,0.5,0.25,0.040000000000000036,0.4211025994417268,,,,
T1,L1,100,0,16,False,-1,0.45041990280151367,0.1068270206451416,0.23924828958745656,0.5,0.25,0.12,0.24596219935220248,,,,
T1,L1,100,0,17,True,-1,0.5561962127685547,0.07948100566864014,-0.14329450257217033,0.5,0.25,0.040000000000000036,0.24818091079084162,,,,
T1,L1,100,0,18,True,-1,0.4355959892272949,-0.21647202968597412,0.7198798286723781,0.5,0.25,0.19999999999999996,0.4216675854544602,,,,
T1,L1,100,0,19,True,-1,0.48358583450317383,0.014761924743652344,-0.04609005527130035,0.5,0.25,0.12,0.33177571347807716,,,,
T1,L1,100,1,0,False,-1,0.5210747718811035,0.0013260841369628906,-1.169778220476784,0.5,0.25,0.12,0.36346052846360233,,,,
T1,L1,100,1,1,True,-1,0.3646879196166992,0.041484951972961426,0.18364795272066375,0.5,0.25,0.16000000000000003,0.4952525983799602,,,,
T1,L1,100,1,2,True,-1,0.47469615936279297,0.06585800647735596,0.7740279944009231,0.5,0.25,0.07999999999999996,0.2593050206244246,,,,
T1,L1,100,1,3,True,-1,0.5456910133361816,0.06700611114501953,-1.538425886175323,0.5,0.25,0.12,0.20370647547642248,,,,
T1,L1,100,1,4,True,-1,0.6355459690093994,0.1070261001586914,0.764659453038695,0.5,0.25,0.12,0.3274815571598688,,,,
T1,L1,100,1,5,True,-1,0.6258540153503418,-0.1133430004119873,-0.8342093806810263,0.5,0.25,0.19999999999999996,0.4062421058965517,,,,
T1,L1,100,1,6,True,-1,0.6477351188659668,-0.01732003688812256,1.5181399724407096,0.5,0.25,0.16000000000000003,0.8851094927403902,,,,
T1,L1,100,1,7,True,-1,0.6314210891723633,0.09785604476928711,0.8896565573818832,0.5,0.25,0.16000000000000003,0.25737345546817597,,,,
T1,L1,100,1,8,True,-1,0.4172840118408203,0.02467799186706543,-0.6078825302914668,0.5,0.25,0.19999999999999996,0.4966303975981837,,,,
T1,L1,100,1,9,True,-1,0.4006330072879791,-0.15947699546813965,1.4434165562007077,0.5,0.25,0.19999999999999996,0.13170626769935334,,,,
T1,L1,100,1,10,False,-1,0.3615089952945709,0.13545501232147217,0.168019531213431,0.5,0.25,0.12,0.48764132108794134,,,,
T1,L1,100,1,11,True,-1,0.6430109739303589,-0.1848900318145752,0.8428471272002104,0.5,0.25,0.07999999999999996,0.5002143215273122,,,,
T1,L1,100,1,12,True,-1,0.6058729887008667,-0.13389110565185547,-0.34734139696903593,0.5,0.25,0.24,0.34474083414010614,,,,
T1,L1,100,1,13,True,-1,0.4234330654144287,0.002254009246826172,-0.1629100256876981,0.5,0.25,0.16000000000000003,0.39052322295464853,,,,
T1,L1,100,1,14,True,-1,0.35228705406188965,-0.17118096351623535,0.07646260526158265,0.5,0.25,0.07999999999999996,0.30080228605694365,,,,
